Title,Year,Genres,Production Country,Budget,Revenue,Popularity,Vote Average
Pirates of the Caribbean: At World's End,2007,"Adventure, Fantasy, Action",United States of America,300000000,961000000,31363664,6.9
Superman Returns,2006,"Adventure, Fantasy, Action, Science Fiction",United States of America,270000000,391081192,13284712,5.4
Spider-Man 3,2007,"Fantasy, Action, Adventure",United States of America,258000000,890871626,27614265,5.9
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy, Family",United Kingdom,250000000,933959197,19083723,7.4
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy, Family", United States of America,250000000,933959197,19083723,7.4
Avatar,2009,"Action, Adventure, Fantasy, Science Fiction",United States of America,237000000,2787965087,185070892,7.2
Avatar,2009,"Action, Adventure, Fantasy, Science Fiction", United Kingdom,237000000,2787965087,185070892,7.2
The Chronicles of Narnia: Prince Caspian,2008,"Adventure, Family, Fantasy",Czech Republic,225000000,419651413,12490891,6.3
The Chronicles of Narnia: Prince Caspian,2008,"Adventure, Family, Fantasy", Poland,225000000,419651413,12490891,6.3
The Chronicles of Narnia: Prince Caspian,2008,"Adventure, Family, Fantasy", Slovenia,225000000,419651413,12490891,6.3
The Chronicles of Narnia: Prince Caspian,2008,"Adventure, Family, Fantasy", United States of America,225000000,419651413,12490891,6.3
X-Men: The Last Stand,2006,"Adventure, Action, Science Fiction, Thriller",Canada,210000000,459359555,867943,6.3
X-Men: The Last Stand,2006,"Adventure, Action, Science Fiction, Thriller", United Kingdom,210000000,459359555,867943,6.3
X-Men: The Last Stand,2006,"Adventure, Action, Science Fiction, Thriller", United States of America,210000000,459359555,867943,6.3
King Kong,2005,"Adventure, Drama, Action",New Zealand,207000000,550000000,19761164,6.6
King Kong,2005,"Adventure, Drama, Action", United States of America,207000000,550000000,19761164,6.6
King Kong,2005,"Adventure, Drama, Action", Germany,207000000,550000000,19761164,6.6
Titanic,1997,"Drama, Romance, Thriller",United States of America,200000000,1845034188,2688907,7.5
Terminator 3: Rise of the Machines,2003,"Action, Thriller, Science Fiction",Germany,200000000,435000000,20818907,5.9
Terminator 3: Rise of the Machines,2003,"Action, Thriller, Science Fiction", United Kingdom,200000000,435000000,20818907,5.9
Terminator 3: Rise of the Machines,2003,"Action, Thriller, Science Fiction", United States of America,200000000,435000000,20818907,5.9
Spider-Man 2,2004,"Action, Adventure, Fantasy",United States of America,200000000,783766341,10834506,6.7
Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy, Action",United States of America,200000000,1065659812,29455314,7
Quantum of Solace,2008,"Adventure, Action, Thriller, Crime",United Kingdom,200000000,586090727,1367812,6.1
Quantum of Solace,2008,"Adventure, Action, Thriller, Crime", United States of America,200000000,586090727,1367812,6.1
Terminator Salvation,2009,"Action, Science Fiction, Thriller",Germany,200000000,371353001,16507496,5.9
Terminator Salvation,2009,"Action, Science Fiction, Thriller", Italy,200000000,371353001,16507496,5.9
Terminator Salvation,2009,"Action, Science Fiction, Thriller", United Kingdom,200000000,371353001,16507496,5.9
Terminator Salvation,2009,"Action, Science Fiction, Thriller", United States of America,200000000,371353001,16507496,5.9
A Christmas Carol,2009,"Animation, Drama",United States of America,200000000,325233863,12869273,6.6
2012,2009,"Action, Adventure, Science Fiction",Canada,200000000,769653595,16698628,5.6
2012,2009,"Action, Adventure, Science Fiction", United States of America,200000000,769653595,16698628,5.6
The Dark Knight,2008,"Drama, Action, Crime, Thriller",United Kingdom,185000000,1004558444,123167259,8.3
The Dark Knight,2008,"Drama, Action, Crime, Thriller", United States of America,185000000,1004558444,123167259,8.3
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Adventure, Action",United States of America,185000000,786636033,12577266,5.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",United Kingdom,180000000,748806957,1813542,6.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy", United States of America,180000000,748806957,1813542,6.7
The Golden Compass,2007,"Adventure, Fantasy",United Kingdom,180000000,372234864,11481379,5.8
The Golden Compass,2007,"Adventure, Fantasy", United States of America,180000000,372234864,11481379,5.8
WALL·E,2008,"Animation, Family",United States of America,180000000,521311860,16088366,7.8
Waterworld,1995,"Adventure, Action",United States of America,175000000,264218220,16885184,5.9
Troy,2004,"Adventure, Drama, War",United States of America,175000000,497409852,15387275,6.9
Troy,2004,"Adventure, Drama, War", Malta,175000000,497409852,15387275,6.9
Troy,2004,"Adventure, Drama, War", United Kingdom,175000000,497409852,15387275,6.9
Evan Almighty,2007,"Fantasy, Comedy, Family",United States of America,175000000,173000000,9156877,5.3
Monsters vs Aliens,2009,"Animation, Family, Adventure, Science Fiction",United States of America,175000000,381509870,14243634,6
Up,2009,"Animation, Comedy, Family, Adventure",United States of America,175000000,735099082,19330884,7.8
G.I. Joe: The Rise of Cobra,2009,"Adventure, Action, Thriller, Science Fiction",Czech Republic,175000000,302469017,11787058,5.6
G.I. Joe: The Rise of Cobra,2009,"Adventure, Action, Thriller, Science Fiction", United States of America,175000000,302469017,11787058,5.6
Wild Wild West,1999,"Action, Adventure, Comedy, Science Fiction, Western",United States of America,170000000,222104681,9887602,5.1
The Polar Express,2004,"Adventure, Animation, Family, Fantasy",United States of America,165000000,305875730,1427536,6.4
Speed 2: Cruise Control,1997,"Action, Adventure, Thriller",United States of America,160000000,164508066,11268531,4.1
The 13th Warrior,1999,"Adventure, Fantasy, Action",United States of America,160000000,61698899,10308026,6.4
Van Helsing,2004,"Horror, Adventure, Action",Czech Republic,160000000,300257475,12643312,6
Van Helsing,2004,"Horror, Adventure, Action", United States of America,160000000,300257475,12643312,6
Poseidon,2006,"Adventure, Action, Drama, Thriller",United States of America,160000000,181674817,6581669,5.5
Shrek the Third,2007,"Fantasy, Adventure, Animation, Comedy, Family",United States of America,160000000,798958165,14072479,6
Alexander,2004,"War, History, Action, Adventure, Drama, Romance",France,155000000,167298192,13498641,5.6
Alexander,2004,"War, History, Action, Adventure, Drama, Romance", Germany,155000000,167298192,13498641,5.6
Alexander,2004,"War, History, Action, Adventure, Drama, Romance", Italy,155000000,167298192,13498641,5.6
Alexander,2004,"War, History, Action, Adventure, Drama, Romance", Netherlands,155000000,167298192,13498641,5.6
Alexander,2004,"War, History, Action, Adventure, Drama, Romance", United Kingdom,155000000,167298192,13498641,5.6
Alexander,2004,"War, History, Action, Adventure, Drama, Romance", United States of America,155000000,167298192,13498641,5.6
Tarzan,1999,"Adventure, Animation, Drama, Family",United States of America,150000000,448000000,12453452,7.1
The Matrix Reloaded,2003,"Adventure, Action, Thriller, Science Fiction",Australia,150000000,738599701,16229317,6.7
The Matrix Reloaded,2003,"Adventure, Action, Thriller, Science Fiction", United States of America,150000000,738599701,16229317,6.7
The Matrix Revolutions,2003,"Adventure, Action, Thriller, Science Fiction",United States of America,150000000,424988211,15368205,6.4
The Matrix Revolutions,2003,"Adventure, Action, Thriller, Science Fiction", Australia,150000000,424988211,15368205,6.4
Master and Commander: The Far Side of the World,2003,Adventure,United States of America,150000000,212011111,8693298,6.9
Shrek 2,2004,"Adventure, Animation, Comedy, Family, Fantasy",United States of America,150000000,919838758,1622986,6.7
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy",Australia,150000000,474968763,22038405,6.7
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy", United Kingdom,150000000,474968763,22038405,6.7
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family, Fantasy", United States of America,150000000,474968763,22038405,6.7
Batman Begins,2005,"Action, Crime, Drama",United Kingdom,150000000,374218673,28505341,7.5
Batman Begins,2005,"Action, Crime, Drama", United States of America,150000000,374218673,28505341,7.5
Chicken Little,2005,"Animation, Family, Comedy",United States of America,150000000,314432665,18584609,5.6
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy, Family",United Kingdom,150000000,895921036,24903058,7.5
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy, Family", United States of America,150000000,895921036,24903058,7.5
Mission: Impossible III,2006,"Adventure, Action, Thriller",China,150000000,397850012,15687983,6.5
Mission: Impossible III,2006,"Adventure, Action, Thriller", Germany,150000000,397850012,15687983,6.5
Mission: Impossible III,2006,"Adventure, Action, Thriller", United States of America,150000000,397850012,15687983,6.5
Casino Royale,2006,"Adventure, Action, Thriller",Italy,150000000,599045960,23065078,7.3
Casino Royale,2006,"Adventure, Action, Thriller", United Kingdom,150000000,599045960,23065078,7.3
Casino Royale,2006,"Adventure, Action, Thriller", United States of America,150000000,599045960,23065078,7.3
Casino Royale,2006,"Adventure, Action, Thriller", Czech Republic,150000000,599045960,23065078,7.3
Casino Royale,2006,"Adventure, Action, Thriller", Germany,150000000,599045960,23065078,7.3
Ratatouille,2007,"Animation, Comedy, Family, Fantasy",United States of America,150000000,623722818,2050803,7.5
Meet the Robinsons,2007,"Animation, Comedy, Family",United States of America,150000000,169332978,10529576,6.7
Transformers,2007,"Adventure, Science Fiction, Action",United States of America,150000000,709709780,5587707,6.6
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy, Family, Mystery",United Kingdom,150000000,938212738,213643,7.4
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy, Family, Mystery", United States of America,150000000,938212738,213643,7.4
Bee Movie,2007,"Family, Animation, Adventure, Comedy",United States of America,150000000,287594577,8774374,5.7
I Am Legend,2007,"Drama, Horror, Action, Thriller, Science Fiction",United States of America,150000000,585349010,11379355,6.9
The Incredible Hulk,2008,"Science Fiction, Action, Adventure",United States of America,150000000,163712074,19125537,6.1
Hancock,2008,"Fantasy, Action",United States of America,150000000,624029371,11017324,6.2
Madagascar: Escape 2 Africa,2008,"Family, Animation",United States of America,150000000,603900354,12668733,6.2
Bolt,2008,"Animation, Family, Adventure, Comedy",United States of America,150000000,309979994,15580915,6.3
The Curious Case of Benjamin Button,2008,"Fantasy, Drama, Thriller, Mystery, Romance",United States of America,150000000,333932083,17934821,7.3
X-Men Origins: Wolverine,2009,"Adventure, Action, Thriller, Science Fiction",United States of America,150000000,373062864,1456541,6.2
Star Trek,2009,"Science Fiction, Action, Adventure",Germany,150000000,385680446,15362632,7.4
Star Trek,2009,"Science Fiction, Action, Adventure", United States of America,150000000,385680446,15362632,7.4
Angels & Demons,2009,"Thriller, Mystery",Italy,150000000,356613439,22211558,6.5
Angels & Demons,2009,"Thriller, Mystery", United States of America,150000000,356613439,22211558,6.5
Night at the Museum: Battle of the Smithsonian,2009,"Adventure, Fantasy, Action, Comedy, Family",United States of America,150000000,413106170,15417181,5.9
Night at the Museum: Battle of the Smithsonian,2009,"Adventure, Fantasy, Action, Comedy, Family", Canada,150000000,413106170,15417181,5.9
Transformers: Revenge of the Fallen,2009,"Science Fiction, Action, Adventure",United States of America,150000000,836297228,4351756,6
G-Force,2009,"Fantasy, Action, Adventure, Family, Comedy",United States of America,150000000,292817841,9163791,5.1
Flushed Away,2006,"Adventure, Animation, Comedy, Family",United Kingdom,149000000,64459316,9922577,6
Flushed Away,2006,"Adventure, Animation, Comedy, Family", United States of America,149000000,64459316,9922577,6
The Alamo,2004,"Western, History, War",United States of America,145000000,25819961,12240901,5.8
The Mummy: Tomb of the Dragon Emperor,2008,"Adventure, Action, Fantasy",Germany,145000000,401128639,14250227,5.2
The Mummy: Tomb of the Dragon Emperor,2008,"Adventure, Action, Fantasy", United States of America,145000000,401128639,14250227,5.2
Armageddon,1998,"Action, Thriller, Science Fiction, Adventure",United States of America,140000000,553799566,13235112,6.5
Lethal Weapon 4,1998,"Action, Adventure, Comedy, Crime, Thriller",United States of America,140000000,285444603,14470551,6.3
Pearl Harbor,2001,"History, Romance, War",United States of America,140000000,449220945,11419388,6.6
Men in Black II,2002,"Action, Adventure, Comedy, Science Fiction",United States of America,140000000,441818803,16775716,6.1
Die Another Day,2002,"Adventure, Action, Thriller",United Kingdom,140000000,431971116,12996474,5.8
Die Another Day,2002,"Adventure, Action, Thriller", United States of America,140000000,431971116,12996474,5.8
Treasure Planet,2002,"Adventure, Animation, Family, Fantasy, Science Fiction",United States of America,140000000,109578115,16141913,7.2
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",United States of America,140000000,655011224,47326665,7.5
The Last Samurai,2003,"Drama, Action, War, History",Japan,140000000,456758981,19582325,7.3
The Last Samurai,2003,"Drama, Action, War, History", United States of America,140000000,456758981,19582325,7.3
The Last Samurai,2003,"Drama, Action, War, History", New Zealand,140000000,456758981,19582325,7.3
Lemony Snicket's A Series of Unfortunate Events,2004,"Adventure, Comedy, Family",Germany,140000000,209073645,12817945,6.7
Lemony Snicket's A Series of Unfortunate Events,2004,"Adventure, Comedy, Family", United States of America,140000000,209073645,12817945,6.7
Rush Hour 3,2007,"Action, Comedy, Crime, Thriller",United States of America,140000000,258022233,9718111,6.1
Iron Man,2008,"Action, Science Fiction, Adventure",United States of America,140000000,585174222,22073099,7.4
Spider-Man,2002,"Fantasy, Action",United States of America,139000000,821708551,29413341,6.8
