title,imdb,tmdb
Prison Playbook,8.5,8.7
The Originals,8.3,8.6
Chappelle's Show,8.8,8.1
Numberblocks,8.6,9.5
Bo Burnham: Inside,8.7,8.3
Okupas,9.0,8.8
Tomorrow,7.7,9.3
Cowboy Bebop,8.9,8.5
Incomplete Life,8.6,9.1
My Mister,9.2,8.9
The Untamed,8.8,9.1
Stories by Rabindranath Tagore,8.8,8.8
Inception,8.8,8.4
Kuroko's Basketball,8.3,8.7
Reply 1988,9.2,8.7
Mr. Sunshine,8.7,8.4
The Gift,8.1,10.0
Legend of Exorcism,7.7,9.5
Dharmakshetra,8.2,10.0
Code Geass: Lelouch of the Rebellion,8.7,8.5
Just in Time,7.0,10.0
A Little Thing Called First Love,8.0,9.2
One-Punch Man,8.7,8.4
Leah Remini: Scientology and the Aftermath,9.0,8.1
One Piece,8.8,8.8
Black Mirror,8.8,8.3
The Charming Stepmom,7.8,10.0
Breaking Bad,9.5,8.8
Trollhunters: Tales of Arcadia,8.4,8.5
Legend Quest: Masters of Myth,7.6,10.0
The Crown,8.7,8.2
When They See Us,8.9,8.2
Stranger Things,8.7,8.6
Peaky Blinders,8.8,8.6
Better Call Saul,8.8,8.5
The Disastrous Life of Saiki K.,8.4,8.5
Hunter x Hunter,9.0,8.8
Kota Factory,9.3,8.2
Arashi's Diary: Voyage,7.7,9.5
A Touch of Green,8.4,9.0
ERASED,8.5,8.7
Garth Brooks: The Road I'm On,7.4,10.0
Attack on Titan,9.0,8.6
Tear Along the Dotted Line,8.7,8.4
Heartstopper,8.9,8.9
Shtisel,8.6,8.4
Twenty Five Twenty One,8.7,8.6
Avatar: The Last Airbender,9.3,8.7
Forrest Gump,8.8,8.5
Monty Python's Flying Circus,8.8,8.3
Demon Slayer: Kimetsu no Yaiba,8.7,8.8
It's Okay to Not Be Okay,8.6,8.6
The Queen's Gambit,8.6,8.6
Emicida: AmarElo - It's All for Yesterday,8.5,8.8
Neon Genesis Evangelion,8.5,8.6
DEATH NOTE,9.0,8.7
Anne with an E,8.7,8.8
The Last Dance,9.1,8.2
Alma Matters: Inside the IIT Dream,8.3,9.0
Julie and the Phantoms,8.4,8.6
Thirty-Nine,7.9,9.5
Scissor Seven,8.5,8.8
Rascal Does Not Dream of Bunny Girl Senpai,8.1,8.8
Hospital Playlist,8.8,9.0
Our Planet,9.3,8.8
David Attenborough: A Life on Our Planet,9.0,8.5
Wakfu,8.1,8.9
The Three Deaths of Marisela Escobedo,8.1,9.0
Vincenzo,8.4,8.8
Navillera,8.8,8.5
Fate of Alakada,7.0,10.0
Stranger,8.5,8.6
Emicida AmarElo Live in Sao Paulo,7.5,9.8
Buddi,7.1,10.0
Arcane,9.1,9.1
BoJack Horseman,8.8,8.6
SKY Castle,8.6,8.3
True Tunes,8.0,10.0
Seinfeld,8.9,8.3
The Haunted House,8.4,10.0
Young Royals,8.3,8.9
Dark,8.7,8.4
Violet Evergarden,8.4,8.7
Mighty Little Bheem: Diwali,7.7,10.0
Formula 1: Drive to Survive,8.6,8.4
I'm Glad I Did,8.4,9.1
Gameboys,8.5,8.5
Still Game,8.9,8.3
Vientos de agua,8.7,9.0
The Rational Life,8.1,9.0
The Writer,8.2,10.0
The King's Avatar,8.2,8.9
Welcome to Waikiki,8.3,8.6
StoryBots Super Songs,8.8,9.0
Ashes of Love,8.5,9.1
The Promised Neverland,8.4,8.9
Mighty Little Bheem: Kite Festival,8.8,10.0
Falling Into Your Smile,8.4,9.4
Who Rules The World,9.2,8.7
Greatest Events of WWII in Colour,8.7,8.6
