title,year,runtime,genres
Mugamoodi,2012,162,action
High & Low The Movie,2016,129,action
Riot,2015,87,action
Gridlocked,2016,114,action
Black,2015,90,action
Chosen,2018,70,action
HiGH&LOW The Movie 2: End of Sky,2017,124,action
Little Singham,2018,12,action
The Hard Way,2019,92,action
My Country: The New Age,2019,75,action
I Am Vengeance: Retaliation,2020,90,action
Welcome to Sudden Death,2020,80,action
Rogue Warfare: The Hunt,2019,103,action
Quams Money,2020,114,action
We Are Legends,2019,108,action
Pretty Guardians Sailor Moon Eternal The Movie,2021,81,action
D.P.,2021,62,action
You vs. Wild: Out Cold,2021,25,action
Revelations: The Masters of the Universe: Revelation Aftershow,2021,25,action
Naruto: Guardians of the Crescent Moon Kingdom,2006,95,action animation
LEGO Marvel Super Heroes: Maximum Overload,2013,20,action animation
LEGO Marvel Avengers: Climate Conundrum,2020,22,action animation
Legend Quest: Masters of Myth,2019,25,action animation
Brave Animated Series,2021,26,action animation
Chhota Bheem,2008,22,action animation comedy
Santa Pacs Merry Berry Day,2016,44,action animation comedy
Bad Guys: Vile City,2017,64,action animation comedy crime drama
Pac-Man and the Ghostly Adventures,2013,22,action animation comedy drama family fantasy scifi
Spirit: Riding Free,2017,23,action animation comedy drama family western documentation
Dokidoki! PreCure,2013,23,action animation comedy drama fantasy family
Scissor Seven,2018,15,action animation comedy drama fantasy romance
Octonauts,2010,15,action animation comedy family
Bottersnikes & Gumbles,2016,13,action animation comedy family
Skylanders Academy,2016,23,action animation comedy family fantasy
World of Winx,2016,23,action animation comedy family fantasy european
Ratchet & Clank,2016,94,action animation comedy family scifi fantasy
America: The Motion Picture,2021,98,action animation comedy fantasy history scifi war
Hi Score Girl,2018,27,action animation comedy romance
Ajin,2016,24,action animation drama fantasy thriller horror scifi
MEGALOBOX,2018,24,action animation drama scifi sport
BAKI,2018,24,action animation drama sport
Kakegurui,2017,24,action animation drama thriller
Team Zenko Go,2022,20,action animation family
Justin Time,2011,15,action animation family comedy
Dragon Quest: Your Story,2019,103,action animation family fantasy
The Deep,2015,22,action animation family scifi
Naruto Shippuden the Movie: The Lost Tower,2010,85,action animation fantasy
Naruto Shippuden the Movie: The Will of Fire,2009,95,action animation fantasy
Inuyasha the Movie: Affections Touching Across Time,2001,99,action animation fantasy
One Piece Film: Z,2012,108,action animation fantasy
Kulipari: An Army of Frogs,2016,24,action animation fantasy
Transformers: Cyberverse,2018,11,action animation scifi
Adventures of Sonic the Hedgehog,1993,22,action animation scifi western fantasy comedy family
Delta Farce,2007,90,action comedy
The Do-Over,2016,108,action comedy
The Debt Collector,2018,96,action comedy
Jailbreak,2017,100,action comedy
Blazing Transfer Students,2017,26,action comedy
Hajwala 2: Mysterious Mission,2018,115,action comedy
Undercover Brother 2,2019,85,action comedy
The Man Who Feels No Pain,2019,136,action comedy
High & Low: The Worst,2019,125,action comedy
Sugar Rush,2019,120,action comedy
