title,year,runtime,genre
Mugamoodi,2012,162,action
High & Low The Movie,2016,129,action
Riot,2015,87,action
Gridlocked,2016,114,action
Black,2015,90,action
Chosen,2018,70,action
HiGH&LOW The Movie 2: End of Sky,2017,124,action
Little Singham,2018,12,action
The Hard Way,2019,92,action
My Country: The New Age,2019,75,action
I Am Vengeance: Retaliation,2020,90,action
Welcome to Sudden Death,2020,80,action
Rogue Warfare: The Hunt,2019,103,action
Quams Money,2020,114,action
We Are Legends,2019,108,action
Pretty Guardians Sailor Moon Eternal The Movie,2021,81,action
D.P.,2021,62,action
You vs. Wild: Out Cold,2021,25,action
Revelations: The Masters of the Universe: Revelation Aftershow,2021,25,action
Naruto: Guardians of the Crescent Moon Kingdom,2006,95,action
Naruto: Guardians of the Crescent Moon Kingdom,2006,95,animation
LEGO Marvel Super Heroes: Maximum Overload,2013,20,action
LEGO Marvel Super Heroes: Maximum Overload,2013,20,animation
LEGO Marvel Avengers: Climate Conundrum,2020,22,action
LEGO Marvel Avengers: Climate Conundrum,2020,22,animation
Legend Quest: Masters of Myth,2019,25,action
Legend Quest: Masters of Myth,2019,25,animation
Brave Animated Series,2021,26,action
Brave Animated Series,2021,26,animation
Chhota Bheem,2008,22,action
Chhota Bheem,2008,22,animation
Chhota Bheem,2008,22,comedy
Santa Pacs Merry Berry Day,2016,44,action
Santa Pacs Merry Berry Day,2016,44,animation
Santa Pacs Merry Berry Day,2016,44,comedy
Bad Guys: Vile City,2017,64,action
Bad Guys: Vile City,2017,64,animation
Bad Guys: Vile City,2017,64,comedy
Bad Guys: Vile City,2017,64,crime
Bad Guys: Vile City,2017,64,drama
Pac-Man and the Ghostly Adventures,2013,22,action
Pac-Man and the Ghostly Adventures,2013,22,animation
Pac-Man and the Ghostly Adventures,2013,22,comedy
Pac-Man and the Ghostly Adventures,2013,22,drama
Pac-Man and the Ghostly Adventures,2013,22,family
Pac-Man and the Ghostly Adventures,2013,22,fantasy
Pac-Man and the Ghostly Adventures,2013,22,scifi
Spirit: Riding Free,2017,23,action
Spirit: Riding Free,2017,23,animation
Spirit: Riding Free,2017,23,comedy
Spirit: Riding Free,2017,23,drama
Spirit: Riding Free,2017,23,family
Spirit: Riding Free,2017,23,western
Spirit: Riding Free,2017,23,documentation
Dokidoki! PreCure,2013,23,action
Dokidoki! PreCure,2013,23,animation
Dokidoki! PreCure,2013,23,comedy
Dokidoki! PreCure,2013,23,drama
Dokidoki! PreCure,2013,23,fantasy
Dokidoki! PreCure,2013,23,family
Scissor Seven,2018,15,action
Scissor Seven,2018,15,animation
Scissor Seven,2018,15,comedy
Scissor Seven,2018,15,drama
Scissor Seven,2018,15,fantasy
Scissor Seven,2018,15,romance
Octonauts,2010,15,action
Octonauts,2010,15,animation
Octonauts,2010,15,comedy
Octonauts,2010,15,family
Bottersnikes & Gumbles,2016,13,action
Bottersnikes & Gumbles,2016,13,animation
