title, popularidad, tmdb
Silver Linings Playbook,697481,26254
The Vampire Diaries,310776,463661
Honeymoon With My Mother,1503,642372
Charlie and the Chocolate Factory,465995,156231
Public Enemies,297525,111535
How to Train Your Dragon,719717,71782
Monty Python and the Holy Grail,530877,18216
The Imitation Game,748654,46
Casino Royale,644336,41332
Money Heist,450797,1
The 100,242221,224641
Love Actually,474176,21297
Riverdale,139154,369341
Full Metal Jacket,723306,36502
Supernatural,428639,406666
Quantum of Solace,441023,30147
Inception,2268288,109
Taxi Driver,795222,27612
Looper,566791,48347
Saving Private Ryan,1346020,54874
Stranger Things,989090,249853
How to Train Your Dragon 2,327565,68926
Sherlock Holmes,620154,28317
Ozark,278223,290316
Django Unchained,1472668,56588
Her,586679,29436
Elite,73062,531821
Midnight in Paris,413541,26775
DEATH NOTE,302147,104037
All of Us Are Dead,41393,678734
Rush,465254,34763
Sherlock Holmes: A Game of Shadows,446531,47884
Grey's Anatomy,293618,1215393
Wheel of Fortune,3126,1440855
Squid Game,416738,272707
365 Days: This Day,10739,1823374
The Social Network,681286,33023
Breaking Bad,1727694,337419
Once Upon a Time... Happily Never After,437,456283
Peaky Blinders,485506,971727
Terminator Salvation,357557,72272
Black Mirror,515577,74102
Don't Look Up,498447,115376
Criminal Minds,189191,401416
Blood Diamond,536858,40209
Better Call Saul,404920,352657
The Girl with the Dragon Tattoo,454917,23091
The Queen's Gambit,406350,104215
NCIS,141049,254207
Conversations with a Killer: The John Wayne Gacy Tapes,3984,534857
Seinfeld,302700,128743
Warrior,463276,74092
Stand by Me,392790,16096
Fistful of Vengeance,5985,829005
Red Notice,255356,390768
Last Man Down,10906,505736
The Last Samurai,429097,33643
Lucifer,308291,761064
Restless,3704,493927
The Marked Heart,1103,1455085
Vikings: Valhalla,31330,504811
The Flash,336888,751315
The Conjuring,491048,150432
Top Gun,329656,112137
The Walking Dead,945125,773
Argo,600392,17419
It Follows,233165,278419
Forrest Gump,1994599,57114
Yaksha: Ruthless Operations,2486,1275252
Narcos,404486,83072
Heartstopper,28978,926362
Shameless,230243,175426
Sex Education,251168,309755
War of the Worlds,439027,38657
3 Idiots,385782,49398
Blade Runner 2049,539864,61861
The Witcher,465949,118384
Black Crab,17101,944405
The Adam Project,156603,919599
The Devil's Advocate,361422,34774
Terminator 3: Rise of the Machines,393998,38918
The Hateful Eight,570138,23205
Gotham,226081,170642
Nightcrawler,523686,54186
The Exorcist,391942,95337
Arrow,425716,125061
Texas Chainsaw Massacre,45810,437842
Life of Brian,392419,17505
House of Cards,494092,46137
Big Fish,435503,21904
The Conjuring 2,260693,171543
Cobra Kai,163858,385985
Battle: Freestyle,313,570879
Dunkirk,619645,33
Into the Wild,611379,15658
The Blacklist,238138,279921
The Bourne Ultimatum,627009,25464
The Privilege,3900,415203
Silverton Siege,2122,393011
Attack on Titan,325381,139388
