title,release_year,genres,imdb_score,tmdb_score
Five Came Back: The Reference Films,1945,documentation,0,0
Taxi Driver,1976,crime drama,8.3,8.2
Monty Python and the Holy Grail,1975,comedy fantasy,8.2,7.8
Life of Brian,1979,comedy,8.0,7.8
The Exorcist,1973,horror,8.1,7.7
Monty Python's Flying Circus,1969,comedy european,8.8,8.3
Dirty Harry,1971,thriller crime action,7.7,7.5
My Fair Lady,1964,drama music romance family,7.8,7.6
The Blue Lagoon,1980,romance drama,5.8,6.2
Bonnie and Clyde,1967,drama crime action,7.7,7.5
The Professionals,1966,western action european,7.3,7.1
The Guns of Navarone,1961,war action drama,7.5,7.4
Lupin the Third: The Castle of Cagliostro,1979,comedy animation action fantasy family,7.6,7.5
Richard Pryor: Live in Concert,1979,comedy documentation,8.1,7.5
The Long Riders,1980,western crime,6.9,6.6
White Christmas,1954,romance comedy music,7.5,7.2
Cairo Station,1958,drama crime comedy,7.5,7.4
The Queen,1968,documentation,7.2,6.5
Hitler: A Career,1977,documentation history european,7.5,7.4
FTA,1972,comedy documentation music,6.2,6.1
Saladin the Victorious,1963,drama war action history romance,7.6,7.1
Singapore,1960,drama thriller crime,6.4,6.3
Dark Waters,1956,drama action romance thriller,6.7,5.9
Alexandria… Why?,1979,drama,7.2,6.0
Raya and Sakina,1953,drama thriller crime history,6.8,5.8
No Longer Kids,1979,comedy drama,9.0,7.7
Amrapali,1966,fantasy,6.7,6.3
Dostana,1980,drama comedy romance action crime,2.1,4.9
The Blazing Sun,1954,romance crime drama,7.4,7.0
Monty Python's Fliegender Zirkus,1972,comedy,8.1,7.0
The Return of the Prodigal Son,1976,drama crime,7.2,5.4
Prince,1969,romance,6.9,7.0
Lock Your Girls In,1980,comedy,0,8.0
The Witness Who Didn't See Anything,1976,comedy,0,7.7
The School of Mischief,1973,comedy,0,8.5
Manoranjan,1974,comedy drama romance,6.5,5.3
We Are All for the Fatherland,1979,documentation,6.2,5.3
Whispers,1980,documentation,7.8,5.0
Lal Patthar,1971,drama,6.2,7.0
Ujala,1959,romance crime drama,6.7,6.0
Alibaba Aur 40 Chor,1979,drama action romance family fantasy,6.2,6.8
Professor,1962,romance comedy drama,6.8,5.8
Chadi Jawani Budhe Nu,1976,romance,4.6,6.0
Bandie,1978,drama romance action,4.2,6.0
Khoon Khoon,1973,drama crime thriller,5.1,3.8
Top Gun,1986,drama action,6.9,7.0
Seinfeld,1989,comedy,8.9,8.3
Stand by Me,1986,drama,8.1,7.9
Once Upon a Time in America,1984,drama crime european,8.3,8.4
When Harry Met Sally...,1989,romance comedy drama,7.7,7.4
Teenage Mutant Ninja Turtles,1990,scifi action comedy family,6.7,6.6
Full Metal Jacket,1987,drama war,8.3,8.1
Christine,1983,horror thriller european,6.7,6.8
A Nightmare on Elm Street,1984,horror,7.4,7.3
Knight Rider,1982,action scifi crime drama,6.9,7.5
Awakenings,1990,drama european,7.8,7.8
Thomas & Friends,1984,family comedy music action animation fantasy drama,6.5,6.6
Annie,1982,drama family comedy,6.6,6.5
Pet Sematary,1989,horror fantasy thriller,6.5,6.6
Saved by the Bell,1989,comedy romance family,7.1,8.0
She's Gotta Have It,1986,comedy romance,6.7,6.7
Eddie Murphy Raw,1987,comedy documentation,7.6,7.3
Endless Love,1981,drama romance,4.9,5.6
Wheel of Fortune,1983,family,6.7,6.7
Major Dad,1989,comedy family,6.4,6.3
Fireman Sam,1987,comedy animation family crime european,6.1,7.3
Danger Mouse,1981,comedy family scifi animation european,7.4,7.4
Mobile Suit Gundam II: Soldiers of Sorrow,1981,scifi drama war animation action,7.2,7.2
Mobile Suit Gundam: Char's Counterattack,1988,scifi animation action drama war,7.3,6.8
Sam Kinison: Breaking the Rules,1987,comedy documentation,7.2,7.2
Tim Allen: Men Are Pigs,1990,comedy documentation,6.0,6.3
Monty Python Live at the Hollywood Bowl,1982,comedy documentation,7.9,7.4
The George McKenna Story,1988,drama,6.0,6.1
Unspeakable Acts,1990,drama,6.0,5.3
Waiting for the Hearse,1985,comedy,8.0,8.2
Mobile Suit Gundam III: Encounters in Space,1982,animation action drama scifi war,7.7,7.5
