title,revenue,budget,popularity,voteAverage
Pirates of the Caribbean: At World's End,961000000,300000000,31363664,6.9
Superman Returns,391081192,270000000,13284712,5.4
Spider-Man 3,890871626,258000000,27614265,5.9
Harry Potter and the Half-Blood Prince,933959197,250000000,19083723,7.4
Avatar,2787965087,237000000,185070892,7.2
The Chronicles of Narnia: Prince Caspian,419651413,225000000,12490891,6.3
X-Men: The Last Stand,459359555,210000000,867943,6.3
King Kong,550000000,207000000,19761164,6.6
Titanic,1845034188,200000000,2688907,7.5
Terminator 3: Rise of the Machines,435000000,200000000,20818907,5.9
Spider-Man 2,783766341,200000000,10834506,6.7
Pirates of the Caribbean: Dead Man's Chest,1065659812,200000000,29455314,7
Quantum of Solace,586090727,200000000,1367812,6.1
Terminator Salvation,371353001,200000000,16507496,5.9
A Christmas Carol,325233863,200000000,12869273,6.6
2012,769653595,200000000,16698628,5.6
The Dark Knight,1004558444,185000000,123167259,8.3
Indiana Jones and the Kingdom of the Crystal Skull,786636033,185000000,12577266,5.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957,180000000,1813542,6.7
The Golden Compass,372234864,180000000,11481379,5.8
WALL·E,521311860,180000000,16088366,7.8
Waterworld,264218220,175000000,16885184,5.9
Troy,497409852,175000000,15387275,6.9
Evan Almighty,173000000,175000000,9156877,5.3
Monsters vs Aliens,381509870,175000000,14243634,6
Up,735099082,175000000,19330884,7.8
G.I. Joe: The Rise of Cobra,302469017,175000000,11787058,5.6
Wild Wild West,222104681,170000000,9887602,5.1
The Polar Express,305875730,165000000,1427536,6.4
Speed 2: Cruise Control,164508066,160000000,11268531,4.1
The 13th Warrior,61698899,160000000,10308026,6.4
Van Helsing,300257475,160000000,12643312,6
Poseidon,181674817,160000000,6581669,5.5
Shrek the Third,798958165,160000000,14072479,6
Alexander,167298192,155000000,13498641,5.6
Tarzan,448000000,150000000,12453452,7.1
The Matrix Reloaded,738599701,150000000,16229317,6.7
The Matrix Revolutions,424988211,150000000,15368205,6.4
Master and Commander: The Far Side of the World,212011111,150000000,8693298,6.9
Shrek 2,919838758,150000000,1622986,6.7
Charlie and the Chocolate Factory,474968763,150000000,22038405,6.7
Batman Begins,374218673,150000000,28505341,7.5
Chicken Little,314432665,150000000,18584609,5.6
Harry Potter and the Goblet of Fire,895921036,150000000,24903058,7.5
Mission: Impossible III,397850012,150000000,15687983,6.5
Casino Royale,599045960,150000000,23065078,7.3
Ratatouille,623722818,150000000,2050803,7.5
Meet the Robinsons,169332978,150000000,10529576,6.7
Transformers,709709780,150000000,5587707,6.6
Harry Potter and the Order of the Phoenix,938212738,150000000,213643,7.4
Bee Movie,287594577,150000000,8774374,5.7
I Am Legend,585349010,150000000,11379355,6.9
The Incredible Hulk,163712074,150000000,19125537,6.1
Hancock,624029371,150000000,11017324,6.2
Madagascar: Escape 2 Africa,603900354,150000000,12668733,6.2
Bolt,309979994,150000000,15580915,6.3
The Curious Case of Benjamin Button,333932083,150000000,17934821,7.3
X-Men Origins: Wolverine,373062864,150000000,1456541,6.2
Star Trek,385680446,150000000,15362632,7.4
Angels & Demons,356613439,150000000,22211558,6.5
Night at the Museum: Battle of the Smithsonian,413106170,150000000,15417181,5.9
Transformers: Revenge of the Fallen,836297228,150000000,4351756,6
G-Force,292817841,150000000,9163791,5.1
Flushed Away,64459316,149000000,9922577,6
The Alamo,25819961,145000000,12240901,5.8
The Mummy: Tomb of the Dragon Emperor,401128639,145000000,14250227,5.2
Armageddon,553799566,140000000,13235112,6.5
Lethal Weapon 4,285444603,140000000,14470551,6.3
Pearl Harbor,449220945,140000000,11419388,6.6
Men in Black II,441818803,140000000,16775716,6.1
Die Another Day,431971116,140000000,12996474,5.8
Treasure Planet,109578115,140000000,16141913,7.2
Pirates of the Caribbean: The Curse of the Black Pearl,655011224,140000000,47326665,7.5
The Last Samurai,456758981,140000000,19582325,7.3
Lemony Snicket's A Series of Unfortunate Events,209073645,140000000,12817945,6.7
Rush Hour 3,258022233,140000000,9718111,6.1
Iron Man,585174222,140000000,22073099,7.4
Spider-Man,821708551,139000000,29413341,6.8
Final Fantasy: The Spirits Within,85131830,137000000,10223851,5.9
Hulk,245360480,137000000,15422638,5.3
The World Is Not Enough,361832400,135000000,12130127,6
Stealth,76932943,135000000,1389018,4.9
Miami Vice,163794509,135000000,1172545,5.7
Stuart Little,300135367,133000000,83595,5.8
War of the Worlds,591739379,132000000,19929377,6.2
Godzilla,379014294,130000000,11295121,5.3
Bad Boys II,273339556,130000000,8191436,6.3
Harry Potter and the Prisoner of Azkaban,789804554,130000000,28460276,7.7
Sahara,119269486,130000000,8946243,5.7
Kingdom of Heaven,211643158,130000000,16296471,6.6
Fantastic 4: Rise of the Silver Surfer,289047763,130000000,12924254,5.4
National Treasure: Book of Secrets,457363168,130000000,12854373,6.1
Kung Fu Panda,631744560,130000000,16897541,6.9
Watchmen,185258983,130000000,16551503,7
Australia,49554002,130000000,9566135,6.3
